,hero_name,stat_name,stat_category
1092,Ashe,Time Elapsed per Ultimate Earned,general
1093,Ashe,Time Holding Ultimate,general
1094,Ashe,Time Played,general
1095,Ashe,Ultimates Earned - Fractional,general
1096,Ashe,Ultimates Used,general
1097,Ashe,Weapon Accuracy,some_shared
1098,McCree,All Damage Done,general
1099,McCree,Assists,general
1100,McCree,Average Time Alive,general
1101,McCree,Barrier Damage Done,general
1102,McCree,Critical Hit Accuracy,some_shared
1103,McCree,Critical Hit Kills,some_shared
1104,McCree,Critical Hits,some_shared
1105,McCree,Damage - Deadeye,hero_specific
1106,McCree,Damage - Flashbang,hero_specific
1107,McCree,Damage - Quick Melee,some_shared
1108,McCree,Damage - Weapon Primary,some_shared
1109,McCree,Damage - Weapon Secondary,some_shared
1110,McCree,Damage Taken,general
1111,McCree,Deadeye Efficiency,hero_specific
